Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
RY,Royal Bank of Canada,Common Stock,83.61,$118.93B,Financials,Banks,Diversified Banks
CHTR,Charter Communications Inc,Common Stock,613.44,$118.84B,Communication Services,Media,Cable & Satellite
NOW,ServiceNow Inc,Common Stock,591.29,$115.33B,Information Technology,Software,Systems Software
AMD,Advanced Micro Devices Inc,Common Stock,93.79,$113.56B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
RTX,Raytheon Technologies Corp,Common Stock,72.61,$110.33B,Industrials,Aerospace & Defense,Aerospace & Defense
BLK,Blackrock Inc,Common Stock,722.98,$110.25B,Financials,Capital Markets,Asset Management & Custody Banks
GS,Goldman Sachs Group Inc (The),Common Stock,306.32,$109.91B,Financials,Capital Markets,Investment Banking & Brokerage
INTU,Intuit Inc.,Common Stock,414.03,$108.76B,Information Technology,Software,Application Software
TD,Toronto-Dominion Bank (The),Common Stock,59.39,$107.83B,Financials,Banks,Diversified Banks
IBM,International Business Machines Corp,Common Stock,120.8,$107.64B,Information Technology,IT Services,IT Consulting & Other Services
CAT,Caterpillar Inc,Common Stock,197.99,$107.56B,Industrials,Machinery,Construction Machinery & Heavy Trucks
UBER,Uber Technologies Inc,Common Stock,60.63,$106.76B,Industrials,Road & Rail,Trucking
AMAT,Applied Materials Inc.,Common Stock,116.7899,$106.66B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
EL,Estee Lauder Cos Inc (The),Common Stock,290.25,$105.25B,Consumer Staples,Personal Products,Personal Products
AXP,American Express Co,Common Stock,129.62,$104.34B,Financials,Consumer Finance,Consumer Finance
MMM,3M Co,Common Stock,178.7,$103.24B,Industrials,Industrial Conglomerates,Industrial Conglomerates
GE,General Electric Co,Common Stock,11.73,$102.75B,Industrials,Industrial Conglomerates,Industrial Conglomerates
MU,Micron Technology Inc.,Common Stock,88.06,$98.31B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
DE,Deere & Co,Common Stock,313,$98.17B,Industrials,Machinery,Agricultural & Farm Machinery
CVS,CVS Health Corp,Common Stock,74.21,$97.14B,Health Care,Health Care Providers & Services,Health Care Services
MELI,MercadoLibre Inc,Common Stock,1942.64,$96.72B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
TGT,Target Corp,Common Stock,191.43,$95.86B,Consumer Discretionary,Multiline Retail,General Merchandise Stores
ISRG,Intuitive Surgical Inc,Common Stock,808.1,$94.92B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
LMT,Lockheed Martin Corp,Common Stock,337.73,$94.23B,Industrials,Aerospace & Defense,Aerospace & Defense
SYK,Stryker Corp,Common Stock,248.15,$93.33B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
SNAP,Snap Inc,Common Stock,61.97,$93.16B,Communication Services,Interactive Media & Services,Interactive Media & Services
BKNG,Booking Holdings Inc,Common Stock,2150.58,$88.07B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
SNOW,Snowflake Inc,Common Stock,299.47,$84.79B,Information Technology,IT Services,Internet Services & Infrastructure
FIS,Fidelity National Information Services Inc,Common Stock,135.6,$84.07B,Information Technology,IT Services,Data Processing & Outsourced Services
LRCX,Lam Research Corp,Common Stock,586.16,$83.94B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
GILD,Gilead Sciences Inc,Common Stock,66.91,$83.88B,Health Care,Biotechnology,Biotechnology
SPGI,S&P Global Inc,Common Stock,339.45,$81.67B,Financials,Capital Markets,Financial Exchanges & Data
TJX,TJX Companies Inc (The),Common Stock,68,$81.64B,Consumer Discretionary,Specialty Retail,Apparel Retail
MO,Altria Group Inc,Common Stock,43.4,$80.66B,Consumer Staples,Tobacco,Tobacco
ATVI,Activision Blizzard Inc,Common Stock,103.81,$80.22B,Communication Services,Entertainment,Interactive Home Entertainment
ZTS,Zoetis Inc,Common Stock,166.71,$79.23B,Health Care,Pharmaceuticals,Pharmaceuticals
CNI,Canadian National Railway Co,Common Stock,110.62,$78.57B,Industrials,Road & Rail,Railroads
