Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
LAUR,Laureate Education Inc,Common Stock,14.56,$3.06B,Consumer Discretionary,Diversified Consumer Services,Education Services
ONTO,Onto Innovation Inc,Common Stock,62.41,$3.05B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ABG,Asbury Automotive Group Inc,Common Stock,157.99,$3.05B,Consumer Discretionary,Specialty Retail,Automotive Retail
SI,Silvergate Capital Corp,Common Stock,162.71,$3.04B,Financials,Banks,Regional Banks
AMRN,Amarin Corp PLC,Depository Receipt,7.82,$3.04B,Health Care,Biotechnology,Biotechnology
SHOO,Steven Madden Ltd,Common Stock,36.56,$3.04B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
BLUE,bluebird bio Inc,Common Stock,45.76,$3.04B,Health Care,Biotechnology,Biotechnology
GHC,Graham Holdings Co,Common Stock,606.24,$3.03B,Consumer Discretionary,Diversified Consumer Services,Education Services
ALXO,Alx Oncology Holdings Inc,Common Stock,81.77,$3.03B,Health Care,Biotechnology,Biotechnology
EAT,Brinker International Inc.,Common Stock,66.8,$3.03B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
LGIH,LGI Homes Inc,Common Stock,120.78,$3.03B,Consumer Discretionary,Household Durables,Homebuilding
HGV,Hilton Grand Vacations Inc,Common Stock,35.64,$3.03B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
URBN,Urban Outfitters Inc,Common Stock,31.01,$3.03B,Consumer Discretionary,Specialty Retail,Apparel Retail
MC,Moelis & Co,Common Stock,54.65,$3.03B,Financials,Capital Markets,Investment Banking & Brokerage
TARO,Taro Pharmaceutical Industries Ltd,Common Stock,78.21,$3.02B,Health Care,Pharmaceuticals,Pharmaceuticals
NNOX,Nano X Imaging Ltd,Common Stock,65.97,$3.01B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
KLIC,Kulicke and Soffa Industries Inc,Common Stock,48.5,$3.01B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
BXS,BancorpSouth Bank,Common Stock,29.34,$3.01B,Financials,Banks,Regional Banks
JJSF,J & J Snack Foods Corp,Common Stock,158.48,$3.00B,Consumer Staples,Food Products,Packaged Foods & Meats
HP,Helmerich & Payne Inc.,Common Stock,27.85,$3.00B,Energy,Energy Equipment & Services,Oil & Gas Drilling
ATRC,AtriCure Inc,Common Stock,66.59,$3.00B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
FUL,H.B. Fuller Co.,Common Stock,57.75,$3.00B,Materials,Chemicals,Specialty Chemicals
